trait,attribute,family
lower labials,"four, second largest",amphisbaenidae
body annuli,213 or 214,amphisbaenidae
tail annuli,21 to 23,amphisbaenidae
an annulus in the middle of the body,"contains 34 or 36 segments, 16 or 18 dorsal and 18 ventral",amphisbaenidae
dorsal segments on distal half of tail,tubercular or subconical,amphisbaenidae
lateral line,very distinct,amphisbaenidae
anal segments,6,amphisbaenidae
preanal pores,4,amphisbaenidae
color,whitish,amphisbaenidae
dorsal segment spots,oval or squarish purplish-brown,amphisbaenidae
length to vent,320 mm,amphisbaenidae
tail length,28 mm,amphisbaenidae
body diameter,10 mm,amphisbaenidae
mental and postmental,fused,amphisbaenidae
nasals,the largest segments on the head,amphisbaenidae
oculars and infraoculars,"split to form triangular, equal in size",amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,two,amphisbaenidae
body annuli,247,amphisbaenidae
caudal annuli,nine,amphisbaenidae
autotomy constriction,at the tail,amphisbaenidae
dorsal segments,17-18,amphisbaenidae
ventral segments,16,amphisbaenidae
precloacal pores,six,amphisbaenidae
color,yellowish with an irregular dorsal scattering of individual dark segments,amphisbaenidae
midbody dorsal surface color,impression of scattering of light segments on a dark background,amphisbaenidae
head color,immaculate,amphisbaenidae
infracaudal segment's anterior half,strongly pigmented,amphisbaenidae
infracaudal segments of the ninth postcloacal annulus,entirely pigmented,amphisbaenidae
head,round,amphisbaenidae
supralabial scales,three,amphisbaenidae
infralabial scales,three,amphisbaenidae
postmalar row,absent,amphisbaenidae
precloacal pores,four,amphisbaenidae
body annuli,205–234,amphisbaenidae
caudal annuli,17–29,amphisbaenidae
dorsal segments,10–14,amphisbaenidae
ventral segments,14–18,amphisbaenidae
preanal pores,four,amphisbaenidae
number of body annuli,218,amphisbaenidae
location of caudal autotomy,on the seventh annulus,amphisbaenidae
body length,105 mm,amphisbaenidae
head width,2.5 mm,amphisbaenidae
frontals,oval,amphisbaenidae
nasal size,large,amphisbaenidae
number of upper labials,four,amphisbaenidae
size of symphysial,medium-sized,amphisbaenidae
number of lower labials,three,amphisbaenidae
size of anterior genials,moderate,amphisbaenidae
size of lateral genials,large,amphisbaenidae
number of posterior genials,six,amphisbaenidae
dorsal segments,longer than broad,amphisbaenidae
ventral segments,not quite 1.5 times as broad as long,amphisbaenidae
number of scales on preanal fold,six,amphisbaenidae
dorsal color,burnt medium brown,amphisbaenidae
ventral color,light waxy yellow,amphisbaenidae
rostro-anal length,about 110 mm,amphisbaenidae
preanal pores,4,amphisbaenidae
tail annuli,31,amphisbaenidae
supralabial size,very large,amphisbaenidae
post-symphysial shape,narrow and elongate,amphisbaenidae
infralabials,first and second fused,amphisbaenidae
internasal and interfrontal sutures,the longest on the dorsal aspect of the head,amphisbaenidae
parietals,"polygonal, large but forming a short median suture",amphisbaenidae
postocular,high and narrow,amphisbaenidae
symphysial size,small,amphisbaenidae
post-symphysial shape,"narrow, elongate",amphisbaenidae
infralabials,first enormous,amphisbaenidae
body annuli,196,amphisbaenidae
dorsal sulcus,not clearly marked,amphisbaenidae
ventral sulcus,not apparent,amphisbaenidae
lateral sulcus,well marked,amphisbaenidae
segments to a midbody annulus,12/12,amphisbaenidae
medio-ventral segment measurements,about twice as broad as long,amphisbaenidae
preanal pores,"4, large",amphisbaenidae
preanal segments,6,amphisbaenidae
tail description,"smooth, with 31 annuli",amphisbaenidae
dorsum color,dark brown,amphisbaenidae
venter color,much lighter,amphisbaenidae
transition from dorsum to venter,"rather sharp, 1-2 segments below the lateral sulcus",amphisbaenidae
head shields,no major fusions,amphisbaenidae
nasals,largest segments of the head,amphisbaenidae
nasals and frontals,divided by a peculiar v-shaped suture,amphisbaenidae
malars,not enlarged,amphisbaenidae
supralabials,two,amphisbaenidae
infralabials,one and a half,amphisbaenidae
body annuli,225-228,amphisbaenidae
caudal annuli,more than 15,amphisbaenidae
dorsal segments/midbody annulus,12-13,amphisbaenidae
ventral segments/midbody annulus,16-17,amphisbaenidae
precloacal pores,"four, round",amphisbaenidae
dorsal color,dark brown,amphisbaenidae
ventral color,lighter,amphisbaenidae
rectangular segmental centers,tendency toward darkening,amphisbaenidae
belly color in surinam a. vanzolinii,white,amphisbaenidae
back color in surinam a. vanzolinii,light-to-dark brown,amphisbaenidae
form size,"medium- to large-sized, elongate",amphisbaenidae
snout,fairly blunt,amphisbaenidae
prefrontals,the largest segments,amphisbaenidae
tail,"relatively long, cylindrical, bluntly terminating",amphisbaenidae
body annuli,211 to 254,amphisbaenidae
caudal annuli,five to seven,amphisbaenidae
caudal annuli from the cloaca to the tip of the tail,23 to 30,amphisbaenidae
dorsal segments,18 to 26,amphisbaenidae
ventral segments,18 to 25,amphisbaenidae
precloacal pores,"four, round",amphisbaenidae
tail shape,elongate and cylindrical,amphisbaenidae
dorsal color,brownish,amphisbaenidae
ventral color,lighter,amphisbaenidae
intersegmental sutures,lightened,amphisbaenidae
neck,characteristic reticulated pattern,amphisbaenidae
"autotomy constriction, tail",23.6 per cent of the specimens,amphisbaenidae
species,only lateral sulci,amphisbaenidae
svl,245 mm,amphisbaenidae
tail,20 mm,amphisbaenidae
tail shape,"tapered, not so cylindrical or rounded terminally",amphisbaenidae
caudal autotomy,between 5-7 caudal annuli,amphisbaenidae
body annuli,225-234,amphisbaenidae
caudal annuli,10-16,amphisbaenidae
dorsal segments/midbody annulus,12-16,amphisbaenidae
ventral segments/midbody annulus,14-16,amphisbaenidae
rows of post-genials,2-3,amphisbaenidae
precloacal pores,2-4,amphisbaenidae
nasal suture,"long, one-third to one-half prefrontal suture",amphisbaenidae
temporal,1,amphisbaenidae
dorsum color,"pale tan, more brown toward head and tail",amphisbaenidae
venter color,pink,amphisbaenidae
ventral pigmentation,almost absent in ventralmost 4 rows,amphisbaenidae
ventral segments,pigmentation fades,amphisbaenidae
temporal region color,"deep, reddish purple",amphisbaenidae
snout color and posterior one-half of edge of lower jaw color,buffy,amphisbaenidae
parietals,single pair,amphisbaenidae
midbody annulus,31 (20 + 11) segments,amphisbaenidae
median ventrals,a single transversely dilated series,amphisbaenidae
body annuli,222,amphisbaenidae
tail,5,amphisbaenidae
rostral,"enormous, compressed, arched, with sharp cutting edge",amphisbaenidae
nostril,slightly above and anterior to the groove separating rostral from first upper labial,amphisbaenidae
"ocular, preocular, postocular","narrow, vertically-elongate",amphisbaenidae
upper labials,"3, second largest and immediately below the preocular",amphisbaenidae
sublinguals,two pairs of elongate,amphisbaenidae
scales,a row of 6,amphisbaenidae
sublabials,"large, wedge-shaped",amphisbaenidae
lower labials,"3, the second enormous, the third scarcely noticeable",amphisbaenidae
body annuli,222,amphisbaenidae
caudal annuli,5,amphisbaenidae
ventral segment,broader than all the other 10 ventral segments together,amphisbaenidae
snout color,horn colored,amphisbaenidae
head and body color,dirty white,amphisbaenidae
tail color,purplish brown,amphisbaenidae
total length,193 (185 + 8) mm,amphisbaenidae
parietals,single pair,amphisbaenidae
segments in a midbody annulus,31 (20 + 11),amphisbaenidae
median ventrals,in a single transversely dilated series,amphisbaenidae
body annuli,222,amphisbaenidae
tail annuli,5,amphisbaenidae
segments in a midbody annulus,34 (18+16),amphisbaenidae
median ventral,scarcely broader than their fellows,amphisbaenidae
body annuli,302-327,amphisbaenidae
tail annuli,19-23,amphisbaenidae
rostral,"enormous, compressed, arched, with sharp cutting edge",amphisbaenidae
nostril,pierced in the rostral or in a nasal,amphisbaenidae
ocular,"narrow, vertically elongate",amphisbaenidae
eye,hidden,amphisbaenidae
upper labials,two,amphisbaenidae
lower labials,three,amphisbaenidae
mental,"tremendously elongate, ribbon-like",amphisbaenidae
body annuli,327,amphisbaenidae
segments in a midbody annulus,34 (18+16),amphisbaenidae
anals,six,amphisbaenidae
preanal pores,no preanal pores,amphisbaenidae
color,"white, uniform",amphisbaenidae
total length of holotype male,215 (196 + 19) mm,amphisbaenidae
total length of larger paratype female,217 (200 + 17) mm,amphisbaenidae
total length of juvenile paratype,107 (97 + 10) mm,amphisbaenidae
snout,"compressed, raised into a keel",amphisbaenidae
premaxilla,part of the snout,amphisbaenidae
nasals,part of the snout,amphisbaenidae
frontals,part of the snout,amphisbaenidae
part of the parietal plate,part of the snout,amphisbaenidae
superior aspect of keel,raised far above level of parietal surface,amphisbaenidae
posterior aspect,may have a horn-like posterior projection,amphisbaenidae
basipterygoid processes,absent,amphisbaenidae
partes posteriores choanarum,absent,amphisbaenidae
supratemporals,absent,amphisbaenidae
quadrate,variably dilated proximally,amphisbaenidae
stapes,"very large, with prominent extracolumella adjacent to lateral aspect of quadrate",amphisbaenidae
rostral shield,"enormous, heavily keratinized",amphisbaenidae
second infralabials,markedly enlarged,amphisbaenidae
head,modified into a vertical keel by strong lateral compression of its anterior aspect,amphisbaenidae
rostral keel,covered with a more or less pronounced layer of keratin,amphisbaenidae
shield,relatively narrow,amphisbaenidae
segments anterior to the ocular,vertically elongate,amphisbaenidae
menial and postmental,relatively wide,amphisbaenidae
first plus second infrajabials,of approximately equal area,amphisbaenidae
posterior margin of rostral shield,"inclined, irregular",amphisbaenidae
second and third supralabials,significantly enlarged,amphisbaenidae
first infralabial,markedly enlarged,amphisbaenidae
posterior margin of rostral shield (and of nasal where present),"ascending more or less vertically, ]n a smooth, posteriorly swinging curve",amphisbaenidae
supralabials,smaller than infralabials,amphisbaenidae
the second infralabial,markedly enlarged,amphisbaenidae
nostril,in discrete nasal segment or in anterior shield,amphisbaenidae
shield,wide,amphisbaenidae
mental and postmental(s),relatively narrow,amphisbaenidae
a pair of very large infralabials,no adjective,amphisbaenidae
sharply defined post-cephalic fold or folds,no adjective,amphisbaenidae
size,small to medium-sized,amphisbaenidae
body,moderately slender,amphisbaenidae
head,laterally compressed,amphisbaenidae
rostral scale,"high, arcuate, forming a cutting edge, more or less keratinized",amphisbaenidae
mandibular symphysis,reaching the level of the suture between prefrontal and nasal,amphisbaenidae
lateral and ventral sulci,present,amphisbaenidae
anterior dorsal sulcus,"short, disorganized, contracted into a low crest",amphisbaenidae
tail,"cylindrical to the level of the autotomy annulus, moderately clavate afterwards",amphisbaenidae
tail tip,"blunt process, vertically elongate",amphisbaenidae
autotomy level,"marked by an incomplete ventral annulus, between the 7th and 8th tail annuli",amphisbaenidae
preanal pores,"none or two, variable in expression, separated by four segments",amphisbaenidae
body annuli,354-372,amphisbaenidae
tail annuli,15-17,amphisbaenidae
dorsal segments/midbody annulus,12-16,amphisbaenidae
ventral segments/midbody annulus,16-20,amphisbaenidae
rostral supported by prefrontals scale,"large, occupying most of the side of the head",amphisbaenidae
frontalis scale,"small but distinct, oblong, placed between the prefrontals",amphisbaenidae
post-frontal annulus scales,a series of elongate vertical scales,amphisbaenidae
ocular scale,"very small, sub-triangular",amphisbaenidae
nasal scale,deeply indents the rostral,amphisbaenidae
supralabials,two,amphisbaenidae
symphysial,"somewhat irregular, with small anvil-shaped processes",amphisbaenidae
postsymphysial,"elongate, pentagonal, somewhat irregular",amphisbaenidae
genialis,"mediai and lateral, rather regular",amphisbaenidae
dorsal segments,squarish,amphisbaenidae
ventral segments,a little wider,amphisbaenidae
lateral sulci,"normal for amphisbaenids, shallow, consisting of a succession of x-shaped wrinkles",amphisbaenidae
ventral sulcus,simply a sharp angle along the line of median segment sutures,amphisbaenidae
dorsal sulcus,"short sequence of misaligned irregular segments, raised into a low crest",amphisbaenidae
large button on the tail tip,not segmented,amphisbaenidae
preanal flap,formed by 10 segments,amphisbaenidae
post-anal rim,formed by 15-17 segments,amphisbaenidae
body,"stocky, short-tailed",amphisbaenidae
head,"laterally compressed, a little narrower than the body",amphisbaenidae
physical form,small,amphisbaenidae
total length,maximum 250mm,amphisbaenidae
rostral scale,"high, arcuate, forming a cutting edge, variously keratinized",amphisbaenidae
mandibular symphysis,reaching the level of the nostril,amphisbaenidae
lateral sulci,apparent,amphisbaenidae
dorsal sulcus,varying from entirely obsolete to well-expressed,amphisbaenidae
ventral sulcus,inconstant,amphisbaenidae
tail,"cylindrical to the autotomy level, clavate behind that, tip rounded",amphisbaenidae
body annuli,214-244,amphisbaenidae
tail annuli,15-23,amphisbaenidae
dorsal segments,12-19,amphisbaenidae
ventral segments,14-22,amphisbaenidae
preanal pores,"usually four, visible varying from slight impressions to small but well defined and pigmented orifices",amphisbaenidae
color,"all specimens gray, somewhat darker on the dorsum",amphisbaenidae
nasals,narrow and elongate,amphisbaenidae
nostril,pierced near the front edge,amphisbaenidae
symphysial,"anvil-shaped, squarish",amphisbaenidae
tail,cylindrical to the autotomy level,amphisbaenidae
anal flap,composed of 6 scales in palisade,amphisbaenidae
posterior rim of the anus,has 10-12 scales,amphisbaenidae
tail tip,"round, smooth or segmented",amphisbaenidae
praemaxillary teeth,1,amphisbaenidae
maxillaries,4-4,amphisbaenidae
mandibulars,6-6,amphisbaenidae
snout,"rather prominent, smooth",amphisbaenidae
rostral,small,amphisbaenidae
nasal,large,amphisbaenidae
praefrontals,"large, pair",amphisbaenidae
frontals,pair,amphisbaenidae
occipitals,slightly enlarged,amphisbaenidae
eye,invisible,amphisbaenidae
ocular,medium-sized,amphisbaenidae
labials,"first, third",amphisbaenidae
temporals,"two first, three smaller ones",amphisbaenidae
supralabials,three,amphisbaenidae
infralabials,"three, second largest",amphisbaenidae
median chin shield,large,amphisbaenidae
chin shields,large,amphisbaenidae
body annuli,191,amphisbaenidae
caudal annuli,"three anterior to the ring-groove, ten posterior to it",amphisbaenidae
ventral segments,sixteen dorsal and twenty,amphisbaenidae
pectoral shields,"about sixteen scutes, four rows of four scales each, two median rows largest",amphisbaenidae
preanal scales,two large in median position,amphisbaenidae
head,vertically compressed,amphisbaenidae
precloacalpore,single on each side,amphisbaenidae
autotomy annulus,well-defined,amphisbaenidae
snout,spatulate,amphisbaenidae
nostrils,open on the ventral surface,amphisbaenidae
gular region,nonsegmented fold,amphisbaenidae
pectoral region,enlarged segments,amphisbaenidae
body annuli,182-192,amphisbaenidae
caudal annuli,13-14,amphisbaenidae
dorsal segments,16-20,amphisbaenidae
ventral segments,18-20,amphisbaenidae
color,"brown dorsally, lighter ventrally",amphisbaenidae
segments of the anterior third of the body,evenly pigmented,amphisbaenidae
posterior segments,concentration in the segmental centers,amphisbaenidae
head,"compressed, elevated",amphisbaenidae
rostral plate,"very large, compressed, forming an arched crest",amphisbaenidae
crown,with two pairs of band-like shields,amphisbaenidae
upper labial shields,3-3,amphisbaenidae
second upper labial,"large, produced, keeled on the side",amphisbaenidae
body and chest,covered with rings of similar oblong square shields,amphisbaenidae
preanal pores,"2-2, separated by a central shield",amphisbaenidae
tail,"cylindrical, rather conical at the tip",amphisbaenidae
skin,loose and inclined to form a fin-like fold,amphisbaenidae
rostral,"fused with the prefrontals, frontal, preoculars and partly to the nasals",amphisbaenidae
ocular,very small and triangular in shape,amphisbaenidae
a pair of parietals,noticeably narrower than the postfrontals,amphisbaenidae
body annuli,247-254,amphisbaenidae
lateral annuli,3-4,amphisbaenidae
caudal annuli,20-22,amphisbaenidae
segments in a midbody annulus,29-38,amphisbaenidae
precloacal pores,4,amphisbaenidae
precloacal segments (anals),10-12,amphisbaenidae
total length,between 188 and 226mm,amphisbaenidae
tail length,1 8.5 to 20 mm,amphisbaenidae
width,4.4 to 5•0 mm,amphisbaenidae
colour,pink generally,amphisbaenidae
head color,lighter than the body,amphisbaenidae
the species turns,blue when deoxygenated and after death in preservative it is white,amphisbaenidae
tail,slightly clavate,amphisbaenidae
nasals,meeting on the midline,amphisbaenidae
parietals,large,amphisbaenidae
supralabials,"fourth small, four",amphisbaenidae
pore-bearing scales of the anal flap,separated on the middle by two large scales,amphisbaenidae
body annuli,272-284,amphisbaenidae
tail annuli,22-23,amphisbaenidae
midbody annulus segments,18-20,amphisbaenidae
head shape,triangular,amphisbaenidae
snout,prognathous,amphisbaenidae
body,"narrower than the head, lateral sulcus evident from the 25-30th body annulus",amphisbaenidae
rostral,well visible from above,amphisbaenidae
prefrontals,large,amphisbaenidae
frontals,"forming together a rough diamond, narrower, rounded behind",amphisbaenidae
postocular,"very large, pentagonal, with unequal sides",amphisbaenidae
tail,"with autotomy level on the sixth annulus, point of tail slightly laterally compressed",amphisbaenidae
dorsum color,brown,amphisbaenidae
ventral parts color,yellowish,amphisbaenidae
tail color,large whitish irregular spots dorsally,amphisbaenidae
belly,some light smudging on the sixth annulus and those immediately behind,amphisbaenidae
bronia bedai,"has more tail annuli than b. kraoh, pierals, four pores",amphisbaenidae
tail,"fewer segments to a midbody annulus than b. kraoh,",amphisbaenidae
bronia brasiliana,more primitive situation than that shown by b. brasiliana,amphisbaenidae
nasals,meeting on the midline,amphisbaenidae
body annuli,272-284 in the new species,amphisbaenidae
pore-bearing scales of the anal flap,"separated on the middle by two large scales, four pores",amphisbaenidae
head,"ovate, rather convex",amphisbaenidae
rostral shield,"very large, hemispherical",amphisbaenidae
nasal shields,small,amphisbaenidae
front pair shields,square,amphisbaenidae
hinder shields,"smaller, triangular",amphisbaenidae
eye-shield,triangular,amphisbaenidae
labial shields,large,amphisbaenidae
body,cylindrical,amphisbaenidae
lateral line,well marked,amphisbaenidae
dorsal shields,"elongate, narrow",amphisbaenidae
ventral shields,"rather broader, smooth",amphisbaenidae
preanal pores,4,amphisbaenidae
tail,blunt,amphisbaenidae
"short, rounded head",slightly compressed laterally,amphisbaenidae
premaxilla,7,amphisbaenidae
maxilla,5,amphisbaenidae
dentary,8,amphisbaenidae
dorsal color,pale brown,amphisbaenidae
dorsal shields,dark central spot,amphisbaenidae
nostril,facing the lateral aspect of the head,amphisbaenidae
body annuli,213-229,amphisbaenidae
caudal annuli,11-15,amphisbaenidae
dorsal segments,18-21,amphisbaenidae
ventral segments,18-21,amphisbaenidae
dorsal and ventral sulci,absent,amphisbaenidae
dorsal region of body and tail,brown,amphisbaenidae
nasals,meeting on the midline,amphisbaenidae
supralabials,4,amphisbaenidae
body annuli,281,amphisbaenidae
tail annuli,13,amphisbaenidae
median pair of preanal segments,"very large, extending forward, dividing the pore-bearing row in two separate halves",amphisbaenidae
each pore-bearing row,3 pores,amphisbaenidae
head,"laterally compressed, high",amphisbaenidae
rostral,not readily visible from above,amphisbaenidae
nasals size,very large,amphisbaenidae
prefrontals size,very large,amphisbaenidae
frontals,"broad in front, narrow behind",amphisbaenidae
second and third supralabials,very high,amphisbaenidae
fourth supralabial shape,"small, square",amphisbaenidae
temporals,"vertical row of 3, the two inferior similar to the fourth labial, the uppermost larger, irregularly trapezoidal",amphisbaenidae
symphysial shape,"small, anvil-shaped",amphisbaenidae
postsymphysial shape,"pentagonal, moderate, with concave anterior margin",amphisbaenidae
body annuli,281,amphisbaenidae
segments to a midbody annulus,28/24,amphisbaenidae
dorsum color,dark straw colored,amphisbaenidae
venter color,lighter,amphisbaenidae
dorsal segments on median third of the body,a small central dark spot,amphisbaenidae
specimen,304 + 18 mm,amphisbaenidae
size,small to medium-sized,amphisbaenidae
head shields,no major fusions,amphisbaenidae
prefrontals,very large,amphisbaenidae
frontals,short,amphisbaenidae
parietals,large,amphisbaenidae
head,"vertically compressed, approximately equal diameter to the trunk",amphisbaenidae
nuchal region,faintly constricted,amphisbaenidae
rostral rip,slightly over the lower jaw,amphisbaenidae
body annuli,204-223,amphisbaenidae
caudal annuli,14-16,amphisbaenidae
caudal tip,"vertically keeled, conically segmented",amphisbaenidae
autotomy site,extremely faintly narrowed fourth or fifth caudal annulus,amphisbaenidae
dorsal segments,12-16,amphisbaenidae
ventral segments,14-16,amphisbaenidae
precloacal pores,"four, in a continuous series",amphisbaenidae
lateral sulci,strongly indicated,amphisbaenidae
dorsal color,"brown, pigmented most densely on the dorsal surface of the tail",amphisbaenidae
ventral color,"lighter, lightening produced by depigmentation and dropping out of color by segments",amphisbaenidae
head shields,without major fusions,amphisbaenidae
prefrontals,enormous,amphisbaenidae
postcoculars,enlarged,amphisbaenidae
head,"laterally compressed, markedly arched, significantly smaller in diameter than the trunk",amphisbaenidae
nuchal constriction,faint,amphisbaenidae
rostral rip,projects strongly beyond the lower jaw,amphisbaenidae
body annuli,239-245,amphisbaenidae
caudal annuli,17-19,amphisbaenidae
caudal tip,vertically keeled,amphisbaenidae
autotomy site,at the sixth to eighth caudal annulus,amphisbaenidae
dorsal segments,14-16,amphisbaenidae
ventral segments,16-20,amphisbaenidae
precloacal pores,"4, in interrupted series",amphisbaenidae
lateral sulci,strongly indicated,amphisbaenidae
dorsal pigmentation,brown,amphisbaenidae
pigmentation in the center of a segment,more emphasized,amphisbaenidae
head shields,no major fusions,amphisbaenidae
prefrontals,enormous,amphisbaenidae
first parietals,very large,amphisbaenidae
second parietals,slightly enlarged,amphisbaenidae
snout,swollen,amphisbaenidae
dorsal surface of the head,"variable arching, but little or no lateral compression",amphisbaenidae
head diameter,significantly smaller than the anterior trunk,amphisbaenidae
nuchal constriction,none,amphisbaenidae
rostral tip,projects strongly over the lower jaw,amphisbaenidae
body annuli,240-265,amphisbaenidae
caudal annuli,17-20,amphisbaenidae
tail,"club-shaped, last annulus surrounds the base of the vertically keeled segmented tip covered by conical segments",amphisbaenidae
dorsal surface pattern,posteriorly directed chevron,amphisbaenidae
(autotomy) constriction,at the seventh or eighth caudal annulus,amphisbaenidae
dorsal segments to a midbody annulus,14-16,amphisbaenidae
ventral segments to a midbody annulus,12-16,amphisbaenidae
precloacal pores,"two, round to faintly oval",amphisbaenidae
dorsal and lateral sulci,strongly indicated,amphisbaenidae
dorsal color,brown,amphisbaenidae
ventral countershading,pigment lightening and segmental drop-out,amphisbaenidae
dorsal and lateral segment,"small, round, densely pigmented dot or ring in the center",amphisbaenidae
nasorostral suture,lost a part,amphisbaenidae
prefrontals,enormous,amphisbaenidae
posterior prolongation of the frontals,extensive,amphisbaenidae
postoculars,enlarged,amphisbaenidae
head,"laterally compressed, arched, significantly smaller in diameter than the trunk",amphisbaenidae
nuchal constriction,no adjective,amphisbaenidae
rostral tip,projects strongly over the lower jaw,amphisbaenidae
body annuli,256-266,amphisbaenidae
caudal annuli,17-18,amphisbaenidae
caudal tip,vertically keeled,amphisbaenidae
autotomy site,at the seventh caudal annulus,amphisbaenidae
dorsal segments,14-16,amphisbaenidae
ventral segments,16,amphisbaenidae
precloacal pores,"4, interrupted series",amphisbaenidae
lateral sulci,strongly indicated,amphisbaenidae
specimens color,completely faded,amphisbaenidae
rostral,"moderate, triangular",amphisbaenidae
nasal,"fused with first and second labials, preocular, ocular, prefrontal and frontal",amphisbaenidae
postfrontals,a pair,amphisbaenidae
temporals,a pair,amphisbaenidae
parietals,a pair,amphisbaenidae
occipitals,1-2 pairs,amphisbaenidae
upper labial,1,amphisbaenidae
temporals,2-3,amphisbaenidae
mental,"elongate, subtriangular",amphisbaenidae
lower labials,3,amphisbaenidae
postmental,small,amphisbaenidae
chin shields,"2 + 3, 3 + 3 and 2 + 4",amphisbaenidae
body annuli,264-280,amphisbaenidae
tail,25-28,amphisbaenidae
segments in a midbody annulus,22-24,amphisbaenidae
median ventral segments,two times as broad as long,amphisbaenidae
anals,6,amphisbaenidae
preanal pores in male,6,amphisbaenidae
preanal pores in female,0,amphisbaenidae
premaxillary teeth,7,amphisbaenidae
maxillaries,4-4,amphisbaenidae
mandibulars,7-7,amphisbaenidae
majority measurement,150 mm,amphisbaenidae
female measurement,154 mm,amphisbaenidae
snout,"rounded, strongly projecting",amphisbaenidae
rostral,"moderate, triangular",amphisbaenidae
large shields,a pair,amphisbaenidae
postfrontals,"subtriangular, forming a long median suture",amphisbaenidae
parietals,polygonal,amphisbaenidae
occipitals,"two pairs, anterior pair broader than long, posterior pair longer than broad",amphisbaenidae
temporals,"four, upper anterior largest, obliquely elongate",amphisbaenidae
shield,"single, elongate, boomerang-shaped",amphisbaenidae
mental,"elongate, subtriangular, sharply pointed",amphisbaenidae
lower labials,"three, 1st very large, 2nd and 3rd very small",amphisbaenidae
postmental,"small, triangular",amphisbaenidae
sublabials,two,amphisbaenidae
chin-shields,"two transverse rows, 4 in each row",amphisbaenidae
annuli on body,286-290,amphisbaenidae
annuli on tail,30-32,amphisbaenidae
segments,28,amphisbaenidae
dorsal and lateral segments,a little longer than broad,amphisbaenidae
median rows of ventrals,1½ times as broad as long,amphisbaenidae
anal segments,"six, elongate narrow",amphisbaenidae
preanal pores,four,amphisbaenidae
tail,rounded at end,amphisbaenidae
caudal segments,much larger than on body,amphisbaenidae
colour,"flesh colour, tinged with mauve above",amphisbaenidae
h&b,112.5,amphisbaenidae
tail,15.5,amphisbaenidae
diameter of body,2.6 mm,amphisbaenidae
ocular scale,separates the frontal from the first labial,amphisbaenidae
first labial,smallest,amphisbaenidae
second labial,largest,amphisbaenidae
scales bordering the upper lip,three,amphisbaenidae
frontals,"a pair, forming a sexagon",amphisbaenidae
parietals,"a pair, smaller than the frontals",amphisbaenidae
chin-shields,1+3+4,amphisbaenidae
temporals,2,amphisbaenidae
body segments,273,amphisbaenidae
midbody annuli,"30, 14 above, 16 below",amphisbaenidae
caudal annuli,26,amphisbaenidae
preanal pores,6,amphisbaenidae
body segments (paratype),269,amphisbaenidae
preanal pores (paratype),"5, very indistinct",amphisbaenidae
male coloration,flesh-pink,amphisbaenidae
female coloration,flesh-pink,amphisbaenidae
head and body length (type male),175 mm,amphisbaenidae
tail length (type male),19 mm,amphisbaenidae
head and body length (paratype female),147 mm,amphisbaenidae
tail length (paratype female),15 mm,amphisbaenidae
dorsal segments,10,amphisbaenidae
ventral segments,10,amphisbaenidae
body annuli,227-247,amphisbaenidae
tail,24-28,amphisbaenidae
rostral,"moderate, triangular",amphisbaenidae
nasal,fused with various sensors,amphisbaenidae
postfrontals,a pair,amphisbaenidae
temporals,in contact on the median line,amphisbaenidae
occipitals,1-2 pairs of poorly defined,amphisbaenidae
labial,"1 upper, narrowly in contact with postfrontal",amphisbaenidae
temporals,"2 or 3, upper broadly in contact with its fellow",amphisbaenidae
lower labials,"3, different sizes",amphisbaenidae
chin shields,2 + 4,amphisbaenidae
segments in a midbody annulus,20 with different dimensions,amphisbaenidae
anals,"6, the outer ones frequently subject to division",amphisbaenidae
preanal pores,"6 in male, 0 in female",amphisbaenidae
premaxillary teeth,7,amphisbaenidae
maxillaries,4-4,amphisbaenidae
mandibulars,6-6.1,amphisbaenidae
coloration in life,flesh pink,amphisbaenidae
coloration in alcohol,pallid pink,amphisbaenidae
"largest a (type. mcz. 47,951)",measures 140 (122 + 18) mm,amphisbaenidae
"paratype. mcz. 47,952",measures 146.5 (129 + 17.5) mm,amphisbaenidae
ocular shield,absence,amphisbaenidae
eye,situated under the posterior part of a large shield,amphisbaenidae
preanal pores,absence,amphisbaenidae
teeth,very small,amphisbaenidae
snout,"rounded, moderately projecting",amphisbaenidae
rostral,small and triangular,amphisbaenidae
large shields,very large,amphisbaenidae
postfrontals,small trapezoidal,amphisbaenidae
upper temporals,large polygonal,amphisbaenidae
parietals,moderately enlarged,amphisbaenidae
occipitals,much smaller trapezoidal,amphisbaenidae
temporals,"five, upper anterior largest",amphisbaenidae
mental,"elongate, subtriangular and pointed behind",amphisbaenidae
lower labials,"three, 1st very large, 2nd and 3rd very small",amphisbaenidae
sublabials,two,amphisbaenidae
annuli on body,246,amphisbaenidae
annuli on tail,24,amphisbaenidae
an annulus,made up of 24 segments (12 dorsal and 12 ventral),amphisbaenidae
dorsal and lateral segments,longer than broad,amphisbaenidae
median ventral rows,twice as broad as long,amphisbaenidae
anal segments,feebly enlarged,amphisbaenidae
preanal pores,no,amphisbaenidae
tail,obtusely rounded at end,amphisbaenidae
colour,"flesh colour, tinged with purplish",amphisbaenidae
size,"h. & b. 121, tail 14, diam. body 3 mm",amphisbaenidae
"preocular supralabials, nasal, preocular, and prefrontal",fused,amphisbaenidae
blind suture,entering fused shield from the anterior tip of the rectangular ocular,amphisbaenidae
frontal and larger parietal,"subrectangular, discrete with long medial contact on midline",amphisbaenidae
