trait,count
vague zonary patterning,1
vent location,1
ventral coloration,2
ventral extension of head shield,1
vert5l length,1
vertebral 1,10
vertebral 1 shape,4
vertebral 1 size,1
vertebral 1 touches 2d marginals,1
"vertebral 1, 2, and 5",1
"vertebral 1, 2, and 5 size",1
"vertebral 1, 3, and 4",2
"vertebral 1, 3, and 5 shape",1
"vertebral 1, 4, and 5",1
vertebral 1-3,3
vertebral 2,1
vertebral 2 and 3,2
vertebral 2 and 5,2
vertebral 2 shape,2
vertebral 2 size,1
vertebral 2-4,3
vertebral 2-4 size,1
vertebral 2-5 shape,2
vertebral 3,2
vertebral 3 and 4,1
vertebral 3 and 4 size,1
vertebral 3 shape,1
vertebral 3-5 shape,1
vertebral 4,9
vertebral 4 and 5,1
vertebral 4 shape,2
vertebral 4 size,1
vertebral 5,9
vertebral 5 shape,3
vertebral and pleural areolae,1
vertebral and pleural areolae color,1
vertebral and pleural areole,1
vertebral column shape,1
vertebral depression,1
vertebral keel,15
vertebral keel presence,1
vertebral keeling,1
vertebral length,2
vertebral line,1
vertebral plates,1
vertebral projection,1
vertebral scute,1
vertebral scute length/width,1
vertebral scute shape,3
vertebral scute size,1
vertebral scutes,9
vertebral scutes 1-4,1
vertebral shape,13
vertebral shields,1
vertebral size,3
vertebral spines,1
vertebral stripe,1
vertebral width,1
vertebral width and length,1
vertebrals,23
vertebrals 1 and 5,1
vertebrals 1-4,1
vertebrals 2-4,3
vertebrals 2-4 shape,1
vertebrals 2-5,3
vertebrals 2-5 size,1
vertebrals and laterals,1
vertical distance from lower surface of plastron to lower edge of lateral marginals small,1
vomer and pterygoid contact,1
vomer contact,1
vomer shape,1
vomer-palatine contact,1
vomer-pterygoid contact,1
webbing,1
weight,4
western and northwestern parts of the range,1
white,1
white barbels,1
white blotches,1
white bridge,1
white marking,1
xiphiplastra,2
xiphiplastra contact,1
yellow band,1
yellow bridge,1
yellow line,2
yellow line branching,1
yellow longitudinal spot,1
yellow or orange bands,1
yellow orange stripes,1
yellow pigment bar length,1
yellow pigment bar location,1
yellow plastron,1
yellow seam lines,1
yellow spot,1
yellow stripes,2
yellow to brown,1
yellow to cream-colored stripe,1
yellow to red marks,1
yellow-greyish dots,1
yellowish horny sheath,1
yellowish orange stripes,1
yellowish seam,1
yellowish stripe,1
yellowish white,1
young adult male shell depth,1
young adult male shell size,1
young adult male skin color,1
young adult plastron color,1
young adult shell pattern,1
young carapace,1
young coloration,1
young description,1
young head features,1
young individual markings,1
