family,trait,attribute,count
Pythonidae,pattern following the vertebral ridge,broken,1
Pythonidae,color change to adulthood,"relatively rapid, uniform green",1
Pythonidae,ventral and subcaudal scales,higher mean number,1
Pythonidae,iris band in juvenile specimens,single,1
Pythonidae,tail tip,dark,1
Pythonidae,"ventral, supralabial, infralabial and subcaudal scales",lower mean number,1
Pythonidae,color change,relatively rapid,1
Pythonidae,head and snout,shorter,1
Pythonidae,juvenile pattern,fully connected,1
Pythonidae,tail tip,light,1
Pythonidae,posterior dorsals,"strongly imbricate, lanceolate",1
Pythonidae,ventrals,239-276 V. 259-294,1
Pythonidae,subcaudals,63-82 v. 75-89,1
Pythonidae,size,small,1
Pythonidae,maximum recorded SVL,1080 mm,1
Pythonidae,Maximum tail length,95 mm,1
Pythonidae,Average TL/SVL,0.094,1
Pythonidae,Average HL/SVL,0.038,1
Pythonidae,average HL/HW,1.94,1
Pythonidae,Maximum mid-body girth,85 mm,1
Pythonidae,head scalation,large symmetrical shields,1
Pythonidae,frontal scale,one large roughly hexagonal,1
Pythonidae,parietal scales,"directly in contact with the frontal, posterior to which scales are largely undifferentified",1
Pythonidae,prefrontal scales,Two to four large,1
Pythonidae,internasal scales,Two,1
Pythonidae,supralabials,10�12,1
Pythonidae,infralabials,10�14,1
Pythonidae,heat pits,four,1
Pythonidae,preocular scale,"single large, anteriorly pointed",1
Pythonidae,loreal scales,3�5 irregularly sized,1
Pythonidae,postocular scales,Two to four,1
Pythonidae,Dorsal scales,"smooth, rhomboidal, and slightly overlapping",1
Pythonidae,Ventral scales,transversally elongated shields; they range from 253 to 284,1
Pythonidae,Subcaudal scales,range from 40 to 48,1
Pythonidae,Background colouration,between light to dark brown,1
Pythonidae,There are,"small and irregular dark brown blotches along the dorsal surface, with ragged edges",1
Pythonidae,Sheen,slightly iridescent,1
