species,1st and 4th vertebrals,1st and 5th vertebrals,1st vertebral,2d to 4th vertebrals,2d vertebral shape,2nd neural bone,4th vertebral covering,4th-6th neural bones,5th vertebral,6th vertebral,adult carapace color,adult size,adult vertebrals,aged adult carapace and plastron color,anal notch,anal notch shape,anal notch width,anal scute notching,anal scutes,anterior and lateral marginal shape,anterior border of the 4th,anterior lobe length,anterior marginals,anterior part of head,axillary and inguinal buttresses,axillary and inguinal scutes,axillary and inguinal scutes presence,axillary and marginal scutes,axillary attachment,axillary buttress,axillary buttress attachment,axillary buttresses,axillary buttresses attachment,axillary length,axillary scute presence,axillary scutes,batagur kachuga,black bridge,black ovoid shape,bony buttresses presence,border color,bridge,bridge and plastron color,bridge color,bridge dark bar,bridge length,bridge scutes,bridge width,bridges,brown bridge,brownish-red blotch,buttress strength,buttresses,carapace,carapace arching,carapace border,carapace color,carapace color comparison,carapace dorsal surface,carapace features,carapace ground color,carapace height,carapace keel,carapace keels,carapace lateral marginals,carapace length,carapace marginal scutes,carapace pattern,carapace posterior,carapace posterior marginals,carapace posterior serration,carapace rim and keels color,carapace scutes,carapace serration,carapace shape,carapace shape (juveniles),carapace size,carapace texture,carapace widest point,carapace width,carapacial color,carapacial ground color,carapacial scute surface,carapacial scutes,carotid canal,central blotch,cervical scute,cervical scute shape,cervical scute size,chin,chin and throat color,chin color,choanae,choanæ,claw length,cloacal bursae,color,colouration and pattern of shell,comparison with diagnostic characters,costal scutes,costals,crown color,dark color,dark-brown to olive stripe,differential diagnosis,dorsal markings,dorsal shape,dorsal surface color,dorsolateral keel development,ear,elliptical carapace,entoplastron,entoplastron location,epipterygoid extension,ethmoid fissure,ethmoid fissure shape,ethmoidalis fissure,exoccipital,exposed limb surfaces,eye,eyelid pigment,facial markings,facial stripes,female carapacial pattern,female characteristics,female m. macrocephala,female plastron,femoral mid-seam length,fifth vertebral,first four vertebrals,fore lobe,forearm scales,foreclaw size,forefoot scale size,forefoot webbing,foreleg scalation,foreleg scales,forelimb scale shape,forelimb webbing,forelobe,forelobe size,four distinct ocelli,frontal bone,frontal bones,growth annuli,hatchling,hatchling central figure,hatchling diagnostic similarity,hatchling head and neck color,hatchling head and neck stripes,hatchling ocellate pattern,hatchling plastron color,hatchling shell color,hatchling throat color,hatchling throat pattern,head,head and neck color,head and neck stripes,head color,head crown color,head crown color comparison,head features,head markings,head shape,head size,head skin,head stripe color,head stripe presence,head surface,heel color,hexagonal neurals,hind leg shape,hind limb shape,hind lobe,hind lobe closure,hind lobe length,hind lobe shape,hind lobe size,hind lobe width,hind marginals,hindfoot heel scale size,hindfoot webbing,humero-pectoral seam,humero-pectoral seam angle,inferior parietal process,infraorbital stripe,infraorbital stripe extension,infraorbital stripe length,infraorbital stripe shape,infraorbital stripes,ingual scute size,inguinal buttress,inguinal buttress attachment,inguinal buttresses,inguinal extension,inguinal length,inguinal scute length,inguinal scute presence,inguinal scute size,inguinal scutes,inguinals,interanal seam,intergular seam,iris color,jaw and chin color,jaw color,jaw serration,juvenile coloration,juvenile dorsal keel development,juvenile dorsal keels,juvenile keels,juvenile scute pattern,keel,keel color,keel development,keel height,keel location,keel presence,keel shape,keels,knob color,lateral edges of the jaws,lateral keel,lateral keel length,lateral keels,lateral marginals,lateral plastral margins,lateral stripes,light seams,limb and tail color,limb color,limb scales,limb sockets and undersides of the limbs,limb webbing,limbs,limbs and soft parts,limbs and tail,loreal stripe,lower 2/3 to 3/4 of the pleurals,lower edge of the upper jaw,lower marginal scutes,lower triturating surface,m. m. kami,male carapacial pattern,male characteristics,male femoral scutes,male m. macrocephala,male plastron,male plastron shape,male tail,male tail length,marginal border,marginal color,marginal scutes,marginal shape,marginal stripe,marginals,margins,maximum size,medial carapacial keel,medial keel,medial keel length,medial keel shape,medial stripe,medial vertebral keel development,median keel,mottled spots,mouth color,mouth-to-neck stripe,nasal stripes,neck,neck color,"neck, limbs, and tail","neck, limbs, and tail color",neural bone shape,neural bones,neural bones length,neural bones shape,neural elongation,neural length,neurals,nostrils,notch above tail,nuchal,number of keels,number of longitudinal keels,orbit,orbital border,orbital stripe,orbito-nasal foramen,orbito-nasal foramen location,orbito-nasal foramen shape,palate and tongue color,palate color,pale streak,pangshura sylhetensis,parietal blotches,plastral buttresses,plastral color,plastral formula,plastral hinge,plastral hinges,plastral pattern,plastron,plastron and bridge color,plastron anterior lobe,plastron anterior lobe shape,plastron attachment,plastron bridge presence,plastron bridges,plastron color,plastron development,plastron formula,plastron hinge,plastron lacking,plastron length,plastron notch,plastron notching,plastron pattern,plastron posterior lobe,plastron posterior lobe shape,plastron presence,plastron shape,plastron size,plastron suturation,plastron width,"plastron, bridge, and undersides of the marginals color","plastron, bridges, and undersides of the marginals color",pleural 4 size,pleurals,"pointed, projecting corner (marginal scutes)",posterior anal notch,posterior border,posterior border of the anals,posterior carapace,posterior carapacial marginals,posterior dorsal head skin,posterior head skin,posterior lobe length,posterior lobe shape,posterior margin,posterior margin of the carapace,posterior marginal rim,posterior marginal serration,posterior marginals,posterior medial keels,posterior neural bones,posterior notch,posterior part of carapace,posterior part of head and temporal region,posterior plastral notch,posterior projections,posterior rim,posterior rim serration,posteriormost marginals,postlagenar hiatus,postlagenar hiatus shape,postorbital,ray pattern,recognition,round spot,scl,scute blotch,scute markings,scutes,seam between anal scutes,seam between vertebrals 3 and 4,seam length,sexual dichromatism,sexual dimorphism,shell elongation,shell shape,skin color,skull,skull features,skull postorbital bone,skull squamosal bone presence,skull temporal arch,snout,snout length,snout shape,snout spot,soft parts,spikelike posterior projection,spine at the posterior margin of each pleural scute,spinelike posterior projection,spinelike projection (juveniles),squamosal,squamosal bones position,squamosals,stripes,stripes or light spots,subocular stripe,subspecies,subspecies separation,supracaudal marginals,supracaudal plates,supraocular stripe,supraorbital stripe,tail,tail color,tail features,tail length,temporal arch,temporal blotches,temporal region color,temporal stripe,throat color,throat pattern,toes,toes webbing,tongue color,toothlike projection presence,triturating surface,triturating surface of upper jaw,triturating surfaces,triturating surfaces of the jaws,tympanic ring,underside of the head and neck,undersides of the marginals,upper jaw,upper jaw color,upper jaw medial notch,upper jaw notch,upper jaw profile,upper jaw shape,upper surfaces of the marginals,vent location,vertebral 1,vertebral 1 shape,"vertebral 1, 2, and 5","vertebral 1, 2, and 5 size","vertebral 1, 3, and 4",vertebral 1-3,vertebral 2,vertebral 2 and 5,vertebral 2 shape,vertebral 2 size,vertebral 2-4,vertebral 2-4 shape,vertebral 3,vertebral 3 and 4,vertebral 3 and 4 size,vertebral 3 shape,vertebral 3-5 shape,vertebral 4,vertebral 4 shape,vertebral 4 size,vertebral 5,vertebral 5 shape,vertebral and pleural scute color,vertebral keel,vertebral projection,vertebral scute,vertebral scute shape,vertebral scute size,vertebral scutes,vertebral shape,vertebral shields,vertebral size,vertebrals,vertebrals 1 and 5,vertebrals 2-4,vertebrals 2-5,vertebrals shape,webbing,yellow band,yellow bridge,yellow line,yellow or orange bands,yellow orange stripes,yellow plastron,yellow seam lines,yellow stripes,yellow to cream-colored stripe,yellowish orange stripes,yellowish pigment,yellowish seam,yellowish stripe,young,young adult carapace and plastron color,young individual markings
Geoclemys hamiltonii,,,,,,,,,,,,,,,,,,,deeply notched,,,,,,,,,,,,,attached to the 1st costals,,,,,,,,,,extensive with moderate buttresses,,,,,,,,,,,,,,,,,,,black,,,interrupted into a series of elevated protuberances,,to 35 cm,,,posteriorly serrated,,,,,,"elongated oval, three-keeled, domed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"series of dorsally pointing orange, yellow, cream, or white wedge-shaped marks at the base of each pleural and spots or radiations of the same color on the vertebrals",,,,,,lies just anterior to the humero-pectoral seam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excluded from the orbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attach to the sutures between the 5th and 6th costals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short sided anteriorly,,,,,,,,,,,,,,,,,,,,,,,"hingeless, yellow with numerous dark radiations",,,,,,,,,abd > fem > pect > gul > an > hum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,separated from the squamosal by the jugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nearly as broad as long,,,,,,,,,,nearly as long as broad,,,,,,,,,,broader than long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heosemys annandalii,,,,,,"hexagonal, short side is anterior",,"hexagonal, shorter posteriorly",,occasionally present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uniformly dark-brown or black,,,,,,,,,60 cm,,,,,,,,,"elongated, rather low in profile but not depressed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"shorter than bridge, contains a wide anal notch",,,,,,,,,lies over entoplastron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not downturned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"single, rather low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fem > pect > gul > an > hum,,,,"connected to carapace by ligaments, short, lacking hinge",yellow with a large black blotch on each scute,,,,,,,,,,,,,,,,,,"well developed, but shorter than carapace",,,,,,,,,,"serrated, with a pronounced notch between the 12th marginals",,,,,,,,,,,,,,not noticeably elongated,,,,,,,,,,,,,,,,,,,,,,,,,,,"incomplete temporal arch, lacking quadratojugal",,,,,,,,,,,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1st broader anteriorly than posteriorly, 2nd-5th broader than long, 5th broader posteriorly than anteriorly",,,,,,,,,,,,,,,,,,,,,,,,,
Mauremys caspica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"either yellow with dark seam borders and dark spots on the corresponding marginals, or almost totally black with a few small yellow marks",,,,,,,,,,,,,,,tan to olive or black with yellow to cream-colored reticulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not enlarged, olive to dark brown with yellow or pale cream-colored stripes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tan gray to olive or black with yellow, cream, or gray stripes or reticulations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"well-developed, notched posteriorly",,,,,,,"yellow with variable reddish to dark-brown blotches, or dark brown or black with a yellow blotch along the lateral scute borders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"several extend anteriorly from the neck onto the head, one on each side passes above the eye and onto the snout where it meets the stripe from the other side, several others extend across the tympanum to contact the posterior rim of the orbit, and two additional stripes continue across the snout and pass ventral to the orbit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangshura tentoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown to olive,paler than kachuga tecta,,,,,,,,to 26.5 cm,,,,,,,,,arched elliptical,,,,behind the middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,much shorter than the broad bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contains a posterior anal notch,slightly shorter than the bridge,,,,,,obtuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prominent,,,"narrow, red to orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fem > pect >< hum > an > gul,,,,,,,,,,,,,,,,long and narrow,,,,,,,,,,,,,,,,,,,unserrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very short,,,,,,,,,,,,,,,,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,smaller than or 3,,,,,longer than broad,posteriorly pointed,,,anteriorly pointed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangshura tecta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"inguinal and axillary scutes are nearly equal in length, or the inguinal is slightly larger",,,,,,,,,,,,"arched, elliptical",,,"brown, sometimes yellow or orange bordered, with a red to orange medial stripe",,,,,,,,,to 23 cm,,,,,,,,,,,,,,widest behind the middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,much shorter than the broad bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,,,,,,,,slightly shorter than the bridge and contains a posterior anal notch,,,,,,,,,joins the plastral seam at an obtuse angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prominent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fem > an >< hum > pect >< gul,,,,long and narrow,"yellow with at least two black elongated blotches on each scute, except the gulars which usually have only a single blotch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very short,,,,,,,,,,,,,,"projecting, short, pointed",,,,,strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,longer than broad,,,,,,broader than long,,,,,,posteriorly pointed,,,,,anteriorly pointed,,,broader than long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuora yunnanensis,,flared,,,,,,,,,,,much narrower than their accompanying pleurals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,chestnut brown to olive,,,,,,,,,to 14 cm,,,,,,yellow,,,relatively low arched,,,,behind the center,,,,,,,,,,,,yellow to orange with olive mottlings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olive to brown,,,,,,,,,,,,,,,,does not completely close posteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,complete,,,,,,,,,,,,,,,,,,,,,,,two low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,second yellow,,,,,,,,,,,,,,,,,,,,narrow yellow,,,,,,,,,,,abd > pect > an > gul > fem > hum,,,,,,,,,,,olive to brown with black seams and a yellowish border,well developed,,weak,,,,,,,,,,,,,,,,,,,,,,"smooth in adults, but are slightly serrated in juveniles",,,,,,,,,,,,,,,,,,,,,,,,,,,large red-brown,,,,,,,,,,,,,,,,,,pointed and slightly projecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not hooked,,,,,,,,,,,,,,,,,,,,,,,,,,strongly developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuora trifasciata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"brown with well-marked black stripes along each keel, dark seams",,,"slight concavity at the seam between the first two pleurals, low, blunt vertebral keel, indications of lateral keels, vertebral 1 wider anteriorly than posteriorly",,,,,,to 20 cm,,,,,,,,,"elongated, low arched, widest behind the middle, and smooth edged posteriorly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olive or brown,,,,,,,,,,,,,,,,,,large horizontal scales,,,,,,,,,,,,,,,,,,,,,,,,,"slightly projected snout, upper jaw only slightly hooked, ground color of the head is olive dorsally, but black laterally, olive-colored, black-bordered stripe runs backward from the nostril through the orbit, upper jaw is yellow, yellow stripe extends from the corner of the mouth through the tympanum to the side of the neck",,narrow and pointed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bright orange or pinkish yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pect >< abd > an > gul > fem > hum,,,,"well developed, but the hind lobe is not extensive enough to completely hide the hind limbs, anal scutes have a wide posterior notch at the midline",,,,,,,dark brown to black with a yellow lateral border extending from the pectoral to the anals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bright orange to pinkish yellow to bright yellow with large black spots on at least the anteriormost marginals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heosemys depressa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,uniformly dark brown or black,,,,,,,,,,,,,light brown or bear either black mottled streaks or a black border,,,,,,,,,to 24.2 cm,,,,,,,,,middorsally flattened,,,,,widest behind the middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heavy,,,,,"large, square to pointed",partially webbed toes,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,,,,,,,flattened,,,,,,narrower than the length of the bridge,,,,,,,,,,,,,,,,,,,present,,,,,,brown,,,,,,,,,,,,,,prominent blunt keel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow brown,,,,,,,,,,,,,,,,,,,,,,,,,,abd > pect > fem >< gul > an > hum,,,,,,,,,,,yellow to tan with dark-brown or black blotches or radiations on each scute,,,,,,,,,,,,notched posteriorly,,,,,,,,,,,,,,divided into large scales,,,,,,,strongly serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly projecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occurs on either side of the medial notch on the upper jaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,,,,,,,,,,,,,,,,,,,
Pangshura smithii,,,,,,,,,,,,,,,,,,,,,,shorter than broad bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arched,,brown to tan,,,,,,,,,to 23 cm,,,,,,,,,elliptical,,,,behind the middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,,,,,,,,,,slightly shorter,notched posteriorly,,,,,,,joins the plastral midseam at a slight angle,,,,,,,,,,,,,,,larger than the axillary,,,,,,,,,,,,,,,,,low,,,blunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fem > hum > pect > an > gul,,,,,yellow with a large black blotch on each scute,,,,,,,,,,,long and narrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smooth or only slightly serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,"projecting, short, pointed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absent,,,,,,,,,,longer than broad,,,broader than long,,,,,,,,,,,tapered and pointed anteriorly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batagur kachuga,,,,,,,,,,,,,,,,,,,,,,shorter than the broad bridge,,,,,,,,,,,,,,,species,,,,,,,,,,,,,,,,,,,,brown to olive,,,,,,,,,to 49 cm,,,,,,,,,slightly depressed,,,,,widest behind the middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,,,,,,,,,,,,,,,,,,joins the plastral midseam at an obtuse angle,,,,,,,,,,,,,,,larger than the axillary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > fem > hum > pect > an > gul,,,,,immaculate yellow,,,,,,,,,,,long and narrow,,,,,,,,,,,,,,,,not always present,,,,,,,shorter than the broad bridge,,,,,,,,,,,,,present on vertebrals 2-3,,smooth to slightly serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,"short, slightly upturned, projecting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shallow medial notch bordered on each side by a toothlike projection,,,,,broader than long,,,,,,about as long as broad,,,,,,broader than long,,,,,much longer than broad,,,broader than long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuora mouhotii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"flattened dorsally, strongly serrated posteriorly, anterior margin somewhat serrated, 3 well-developed keels",,,,,,to 18 cm,,,,,,,,,"elongated, oval",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forward extension to the level of the anterior border of the cranial cavity,,,broad triangular,,,,,,,,,,,,,,,,,,,covered with large scales,,,,,,,,,,,,,,,,,,,,,,,brown with dark vermiculations,,,"strongly hooked, unnotched upper jaw, short nonprojecting snout, narrow and ridgeless triturating surfaces of the jaws",,,moderate,,,,,,,somewhat club shaped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray to dark brown or black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,posteriorly situated at the level of the primitive caroticum foramen,,,,,,,,,,,,,,,,,,,,yellow to light brown with a dark-brown spot on each scute,,abd> an > pect > hum >< fem > gul,,,,,,,,,,"united to the carapace by ligaments along a short, but distinct, bridge",smaller than the opening of the carapace,,,,,,,,,,,,,,divided into large scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pointed tubercles arise at its base and on the adjoining thighs,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacalia bealei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,short,,,,,,,,,,,,about as long as the plastral hind lobe,,,,,,,,,,,yellow brown to chocolate brown,,,,,,,,,to 14.3 cm,,,,,,,,,"elongated, elliptical",,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broad and triangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small or absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low,,,,,,,,,,,,,,shortest anteriorly,six sided,,,,,,,,,,,,,,bordered by the basisphenoid in front of the primitive caroticum foramen,,,,,,,,abd > pect > an > fem > hum >< gul,,,,,yellowish to light olive,,,,,,,,,,,,,,,,,"well developed, hingeless",notched posteriorly,,,,,,,,,,,,,,,,,,,,,,unserrated in adults,present,,,,,,,,,,,large and round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,touching the postorbitals but not the jugals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,,,,,,,,,,,,
Batagur borneoensis,,,,,,,covers three neurals,,,,"light brown to olive with three broad, black longitudinal stripes",,,,,,,,,,,,,,,,,,,connected to the 1st rib,,,,,,,,,,,,broad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"roughened with growth annuli, not serrated posteriorly",,"oval, somewhat flattened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,larger than the axillary,connects between the 5th and 6th costals,,,,,,,,,,,,,,,,,,,well-developed continuous medial keel and an interrupted lateral keel on the pleural scutes of each side,,,,keels become lower and disappear with age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"elongated, hexagonal, short sided anteriorly",,,,,,,,,,,,,,,,,,,,,,"greatly enlarged, extending almost to the neurals",,abd > fem > pect > an >< hum > gul,,,,,,,,,,,,,,,,,,,,,,,"well developed, but smaller than the shell opening",smaller than the shell opening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,,,,,,,"about as broad as long, smaller than the 3d",,,,,,,a projection on the anterior border of the 4th vertebral fits into a posterior concavity on the 3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notochelys platynota,,,,,,,,,,,,,,,,,,"not notched, or only slightly so, posteriorly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flattened,,,,,,,to 32 cm,,,,,present,,,,oval to elongated,,,,,,greenish brown to yellowish brown or reddish brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,two dark spots on each vertebral and one on each pleural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"low, interrupted",,,,,,,,,,,,,,,,,,,shortest anteriorly,hexagonal,,,,,,,,,,floor of the cavernosum canal lateral to the border of the basisphenoid and anterior to the primitive caroticum foramen,,,,,,,,,,,,,,yellow to orange,,,bound to the carapace by a ligament,present,,,,abd >< pect > an > gul> hum > fem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contain a dark spot or radiation,,,,,,,,,,,,present,present,complete or incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"first four and last large, broader than long",6 or 7,,,,,,,,,,,,,,,,,,,,,,,,,
