species,11 marginals,1st vertebral,400 mm,5th vertebral,76 cm,8 kg,abdominals,abruptly descending sides,adult color pattern,adult coloration,adults,anal midline suture length,anal notch,anal scute projections,antcrior marginals,anterior and posterior marginals serrated,anterior marginals,anterior neurals,anterior notch,anterior orbito-nasal foramina,areolae,average mass,axillaries,axillary,axillary and inguinal buttresses,axillary and inguinal scutes,axillary scale,axillary scales,axillary scute,axillary scutes,beak,beak edge,beak shape,bifurcated gulars,black markings,black-brown,body skin color,bridge,bridge characteristics,bridge color,bridge ridge,bridge width,broad bridge,brown,buttock tubercles,carapace,carapace color,carapace features,carapace length,carapace margins,carapace of male,carapace pattern,carapace scutes,carapace shape,carapace size,carapacial color,centrochelys sulcata,cervical indentation,cervical notch,cervical region,cervical scute,chin color,claw distance,clutch size,color,color variation,coloration,colour,concave plastron,contrast,cream or yellow,dark radiations,difference between percentages of heights at third vertebral and at nuchal notch,disrupted keel,distribution,domed carapace,dorsal shields,dorsal surface,elbow mobility,eleven marginals,elongated carapace,elongated cervical,enlarged sub-conical tubercle,expanded 5th vertebral,female size,flared posterior marginals,flared posterior rim,flattened dorsally,fore limb claws,fore limb scales,fore lobe,fore lobe shape,fore-limb scutes,forearm claws,forearm scales,foreclaw number,forefeet,forefoot claws,forefoot scales,forehead shields,forelimb scales,forelimbs,forelobe shape,four claws,fourth cervical vertebra,fourth to fifth vertebral suture,front and rear marginals,front foot size,frontal and prefrontal scales,general size,glans penes,growth annuli,gular,gular area,gular notch,gular projections,gular scutes,gular scutes length,gular shape,gular size,gular size (female),gulars,gulars projection,habitat,hatchling coloration,hatchling mass,hatchling weight,head,head color,head coloration,head physiognomy,head scales,head size,height at nuchal notch,highest point,hind limb claws,hind lobe,hind lobe of plastron,hind lobe shape,hinge,inguinal,inguinal scute,inguinal scutes,inguinals,interhumeral and interpectoral seams ratio,jaw serrations,jaw surface,jaws and throat,juvenile color pattern,juvenile coloration,juvenile pattern,juvenile shape,juveniles and females,laminae,large black blotches,large prefrontal scale,large single frontal scale,length,length over curve in male,length/height ratio,limb scales,longest median suture,male plastron shape,male tail length,male tail shape,males,marginal areolae,marginal color,marginal count,marginal plates,marginal scutes,marginal stripes,marginals,mass,mature males,max. tl,maxillae,maximum length,maximum tl,medial keel,midline pectoral scute,moderate,narrow cervical scute,neurals,no cervical scute,nonprotruding snout,nostril location,nuchal,nuchal scute,nuchal shield,number of marginals,number of species,one or two inguinals,orange-yellow,oval carapace,overall coloration,p. t. tentorius,p. t. verroxii,paired gulars,pectoral midseam length,pectoral plates,pectoral scute,penis length,penis shape,plastral concavity,plastral forelobe,plastral formula,plastral hind lobe,plastral hinge,plastral lobes,plastron,plastron and bridge color,plastron color,plastron development,plastron lacking,plastron length,plastron pattern,plastron shape,plastron shield,plastron size,pleural areolae,pleural color,pleurals,posterior declivity,posterior marginals,posterior marginals upturned,posterior notch,posterior notch on hind lobe,posterior portion,posterior portion of the carapace,posterior rim,posterior slope,postorbital bar,prefrontal scale size,prefrontal scales,prefrontals,premaxillae,projecting gulars,radial pattern development,raised areolae,scute borders,scute color,scute shape,scutes,seam borders,serrated posterior rim,sex ratio,sexual dimorphism,shell color,shell depression,shell length,shell opening size,shell shape,shell width,shorter and narrower hind lobe,sides,single axillary,single undivided supracaudal scute,size,skull shape,smoothshelled,snout,snout shape,space between plastron and carapace,straight length,submarginal scales,submarginal scutes,subspecies,supracaudal,supracaudal scute,supracaudal shape,supracaudals,suprapygal bones,suprapygals,suture color,tail,tail spine,tail spur,tapered forelobe,temporal arch,terminal spine,the elongated carapace,thigh tubercle,tl,top scutes,triturating surfaces,undivided supracaudal,unequal tubercular scales,upper jaw,upper jaw shape,upturned forelobe,vertebral 1,vertebral and pleural areolae,vertebral and pleural areole,vertebral and pleural patterns,vertebral length,vertebral scutes,vertebral shields,vertebral width,vertebrals,vertebrals 2-5,vertebrals and laterals,vertical distance from lower surface of plastron to lower edge of lateral marginals,weak cervical notch,weakly hooked upper jaw,weight,well-defined growth annuli,well-developed plastron,wider than long vertebrals,yellow bar on each marginal,yellow plastron,yellow vertebral and pleural areolae,young tortoise coloration
Chersobius boulengeri,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,"strongly hooked, feebly tridentate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not swollen, concentrically striated, separated by rather deep, narrow grooves",,,,,,,,,,,,"five claws to the fore limb, four rarely five","large, elongated, subequal, imbricate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"four, rarely five",,,,,,,,"large, in contact with the femoral, the abdominal, and two marginals",,,,,,,,,,,,,,,,,,"between the abdominals, and is a little over three times that between the pectorals, the suture between the caudals is about the same as that between the pectorals and the gulars, the suture between the femoral is the same or a little shorter than that between the humerals",,,,,,,,"12 or 13, rarely 11",,,,,,,,,,,,,,,,,,"small, short",,,,,,,,,,,,,,,,,,,,,,"short, from half to one-third the width of the bridge, front lobe truncate, hind lobe openly notched in the female, deeper in the male",,,,,,,,,,,,,,,,,,,,,,,,,"a pair of small prefrontal scales on the snout, usually preceded by a small median and two lateral plates of nearly the same size as the prefrontale",,,,,,,,,,,,,,,,,,"very depressed, more than twice as long as deep, flat on the vertebral region, posterior margin reverted, nearly vertical and not or feebly serrated, anterior margin not or feebly serrated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"moderately or deeply impressed, broader than long, as broad or a little narrower than the costals",,,,,,,,,,,,,,,
Aldabrachelys gigantea,,narrower than the 2d,,smallest and expanded,,,,,,,,,,,,,,,,,,,,,,,,,single and small,,,,,,,,,,,,,moderate,,,,,brownish gray,,105 cm,,,,,"thick, elongated, domed",,,,slight,,,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tapers anteriorly,,,,,,,,,surround the raised vertebral and pleural areolae,,,,,,,,,,short and thick,,,,,,,,,,,,,,,,,"longer, but much narrower",,,larger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > hum > fem > pect >< gul >< an,,,,,brownish gray,,,posterior notch,,,short,,,,,,,"flared, slightly upturned, and unserrated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"single, undivided, and downturned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broader than long,,,,,,120 kg,,,,,,,
Pyxis arachnoides,,,,,,,,,,,,,,,,,,,,,,,,,"short, do not extend to costals","single small, one or two larger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notch,"may be absent, long and narrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"paired, not greatly thickened, extend slightly past carapacial rim",,,,,,,,,,,,,,,"broad, very short, posterior notch",,,"movable, between humeral and pectoral scutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eleven on each side,,,,,,,,,,,alternate in shape between octagonal and square,,,,,,,,,,,,,,,,,,,,,,,abd > gul > pect > hum >< an > fem,,,,"well developed, forelobe longer and narrower than hind lobe, tapered toward front",,"yellow, some dark blotching at bridge",,,,,,,,,,,,"unserrated, downturned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"descending, almost parallel",,,,,,,,,,absent,,,undivided,,,,,two,,,,,,,,,,,,,,,,,,,,,"dark-brown or black, starlike, yellow center, several broad rays",,,,,"broader than long, slightly raised centers, prominent growth annuli",,,,,,,,,,,,,
Kinixys homeana,,,,,,,,,,,,,,,,,flared but only slightly reverted,,,,,,,,,,,,,two to four small,,,,,,,,,,,,,,,,,,,,,,,,domed,,"ranges from totally dark brown to tan, or there may be some yellow pigment on the vertebrals and pleurals, or dark borders on these scutes",,,,"shallow depression, at best",,,,,,,,,,,,,,low knoblike projection on each vertebral,,,,"flat, sometimes slightly keeled",,,,usually present (rarely absent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"thickened, paired",only slightly beyond the carapacial rim,,,,,,,,,,,,,,shallowly notched posteriorly,,,,,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 or rarely 12 marginals on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > hum > gul >< pect >< fem > an,,,,,,,,,,,,,,,,,,flared and strongly reverted and serrated,,,,,begins to drop off abruptly at the front of the 5th vertebral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"single, usually undivided, reverted",,,,,,,,,,,,to 21 cm,,,,,,,,,,"broader than long in juveniles, but becomes progressively longer with age until it is longer than broad",,,,,,,,,broader than long,,,,,,,,,,,,
Testudo marginata,,,,,,,,physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical,,,,quantitative,physical,,,physical,,physical,physical,,,,,,,,,,,,,,,,,,,,,,,,,physical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical,,,,,,,,,,quantitative,,,,,,physical,,,,,,,,quantitative,,,,,,,,,,,,,,,,,,,,,physical,,,,,,,,,,physical,,physical,,,,,,physical,,,,,,,,,quantitative,,quantitative,,,,,,,,,,,,,,,,,,,,,,physical,,,,,,,,physical,,,,physical,,,,,,,,,,,,,physical,,,,physical,physical,physical,physical,physical,
Indotestudo forstenii,,,,expanded,,,,,,,,,,,,,,,,,,,,,,moderate in size,,,,,,,,,,,,,,,,wide,,,,,"unpatterned gray to brown, or yellow brown to brown or olive with dark blotches on each scute",,to 30.9 cm,,,,,"domed, but flattened dorsally, with descending sides",,,,,due to the absence of any cervical scute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tapers anteriorly, shorter and narrower than the hind lobe",,,,,,,,,,,,,,,,,,,,well-defined,,,,,,,,,,somewhat thickened,,,,,,,,,,small,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd> fem >< hum > gul > pect > an,,,,,yellowish to brown with small black blotches,,well developed,,,,,,,,,,,serrated (more strongly so in juveniles),,,,,,,,,"large, divided longitudinally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonprotruding,,,,,,,single,,,,,,,,,,,,,,,,,,,,"weakly hooked, tricuspid",,,,,,,,,,broader than long,,,,,,,,,,,,,
Kinixys erosa,,,,"flared, widest",,,,,,,,,,,,,"flared, reverted",,,,,,,,,,,,,three or four small,,,,,,,,,,,,,,,,,,,to 32.3 cm,,,,,"elongated, domed",,dark brown to dark brown with yellow to orange centers on all scutes,,,,shallow depression,,,,,,,,,,,,,,,,,,"flat, unkeeled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notched in front,,,,,,,"thickened, paired, project anteriorly beyond the carapacial rim",,,,,,,,,,,small to moderate,,,,,,,,,"one large, in contact with the femoral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 or sometimes 12 on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > hum >< gul >< pect > fem >< an,"short, may lack a posterior notch or be shallowly notched",,,,,dark brown to black with some yellow along the seams,,,,,,,,,occasionally a band of yellow,,,"slightly flared, strongly serrated, reverted",,,,sloping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonprojecting,,,,,,not divided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all broader than long,,,,,,,,,,,,,
Malacochersus tornieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,,,,,,,,yellow to tan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paired,,,,,,,,,,,yellow-brown,,,,,,,,,posteriorly notched,,,,,,two to four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > hum > pect >< fem > gul > an,,,,hingeless,,yellow with solid brown blotches or jagged brown radiations,,,,,,,,,,,,,,,,,,,,,,,,ridgeless,,,,darker,,,,,,,,,,,,,,,,,,,,,nonprotruding,,,,,,,,,,,,,,,,,,,,,,,,,,,hooked,,,,,,,,,,,,,,,,,,,,,,,,
Manouria impressa,,,,expanded,,,,,,,,,deep,,,,,,broad,,,,,small to moderate,,,,,,,,,,,,,,wide,,,,,,,,,yellowish brown to brown with dark seams,"flattened dorsally, has an indentation at the broad cervical, and is strongly serrated around its entire rim",to 27 cm,,,,,oval,,,,,,,,,,,,,,,,,,along the outer border of each scute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well-defined,,,,,,,,,,"thickened, extend slightly beyond the carapacial rim",,,,,,,,,,,,,,,,,,,"large, often subdivided",,,,,,,,,,,,,,on the marginals,,,,,,,,,,,,flat,,,,,,,,,,,,,slight indication on the 4th and/or 5th vertebrals,,,,,,,,,,,11 on each side,,,,,,,,,,,,,,,,abd > hum > fem > gul >< an > pect,,,,,,yellowish brown with darkened seams,well developed,,,,,,,,,somewhat concave,,somewhat upturned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,wider than long,,,,,,,,,,,,,
Testudo hermanni,,,,expanded,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,broad,,,,,,,,,,,to 20 cm,,,,,domed,,,,,slight,,long and narrow,may be lighter in color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"slightly upturned, tapered toward the front, and shorter and narrower than the hind lobe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"thickened, but extend only slightly past the carapacial rim",,,,,,,,,,"large, may be longitudinally divided or subdivided",moderate,,,,bears a posterior notch,,,,,"small, may be absent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > hum > an >< gul > fem > pect,,,,well developed,,dark brown or black with a yellow border and midseam,,,,,,,,,,,,,,,,,,downturned and slightly serrated,,,,,,,,,,,,,,,,,,variable,,,,,,,,,,,,,,nonprotruding,,,,,,,,,,,,,,,,,,,,,,,,,,,hooked,,,often raised and surrounded by growth annuli,,,,,,,broader than long,,,,,,,,,,,,,
Testudo horsfieldii,,,,expanded,,,,,,,,,,,,,,,,,slightly raised and surrounded by growth annuli,,,,,,,,,,,,,,,,,"broad, has a small axillary and usually only a single small inguinal that does not touch the femoral",,usually yellow,,,,,,,ranges in color from totally light brown to yellowish brown with extensive dark-brown pigment on each scute,,to 22 cm,,,,,almost as broad as long and flattened dorsally,,,,,weak,,usually long and narrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moderate,,near the center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usually 11 on each side,,,,,,,,,,,,,,,,,,,,,,,,,,thickened and extend slightly beyond the carapacial rim,,,,,,,"not upturned, tapers to the front, and is slightly longer and narrower than the hind lobe",abd> gul >< hum >< an > fem > pect,,,,"well developed, but lacks the movable hinge between the abdominal and femoral scutes",,black with yellow seams,,,,,,,,,,,,,,,,,,"not greatly flared, but may be slightly serrated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,undivided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all broader than long,,,,,,,,,,,,,
Centrochelys sulcata,quantitative,,,shape,size,,,shape,,,,,shape,,,shape,,,,,,,shape,,,,,,,,,,,shape,,,,shape,,,,,,color,,,,,,,,,,,,,species,,shape,,,,,,,,,,,,color,,,,,,,,,,,,,,,,,shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shape,,,,,,,,,,,,shape,,,,,,,,,,,,shape,shape,,,,,,,,,,,,,,,,,,,,,,,,,size,,,shape,shape,,,,,,,,,shape,,,,,,,,,,,,shape,,,shape,shape,,,,,,,,,,shape,,,,,shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shape,,,,,shape,,shape,,,,,,
Geochelone platynota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smaller than the inguinal,,,,,,,,,,,,,wide,,,,,dark brown or black with six or fewer radiating stripes extending from the yellow areola of each vertebral and pleural,,to 26 cm,,,,,"oval, domed but flattened dorsally with descending sides and a slight cervical indentation",,,,,,,absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well-defined,,,,,,,,,,"somewhat thickened, broader than long, and do not greatly extend anteriorly",,,,,,,,,,,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,two yellow stripes form a v-shaped pattern on each marginal,11 on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,extremely narrow,,,,,abd > hum > fem > gul > an > pect,,,,,yellow,,,,notched both anteriorly and posteriorly,,"longer, narrower than the hind lobe",,,flat,,,,slightly expanded and weakly serrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,undivided and downcurved,,,,,,,,,,,,,,,,,,,,,,,,,,about as long as broad or occasionally longer,,,broader than long,,,,,,,,,,,,,,
Testudo kleinmanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"broad, with an axillary and one or two small inguinal scutes, which may touch the femoral scute",,,,,,,,greenish yellow to yellowish brown,,to 13.5 cm,,,,,domed,,,,,present,,"present, usually long and narrow, but may be broad and triangular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"upturned, tapered anteriorly, and shorter and narrower than the hind lobe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"paired, thickened, and rarely project beyond the carapacial rim",,,,,,,,,,,moderate,,,,,,posterior notch,,,,,,,,,,,,,dorsally flattened,,,,,,,,,,,,,,,,,,,,,10 to 12 on each side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abd > an > pect >< hum gul > fem,,,,,yellow with a central dark blotch on each abdominal scute and along the seams,,well developed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark,,,,,,,,,,,,,,,,,,,,,,,,flared,,usually undivided and projects beyond the marginals,,,,,,,,,,,,,,,,,,,,,,,may be raised slightly and surrounded by growth annuli,,,broader than long,,,,,,,,,,,,,,,,
