species,traits
baikia africana,"head shape compressed, elevated, rostral plate large, compressed, forming an arched crest, groove on the hinder part over the nostrils, temples with two small shields, upper labial shields 3-3, nostrils large, lateral, under the edge of the keel of the frontals, preanal pores 2-2, separated by a central shield, tail shape cylindrical, rather conical at the tip, rostral large, compressed, forming an arched crest, prefrontals fused with the rostral, frontals fused with the rostral, preoculars fused with the rostral, nasals demarcated on three sides but fused anteriorly, postfrontals elongate transversely, ocular small, triangular in shape, parietals noticeably narrower than the postfrontals, temporal enlarged, postparietals five small, mental quadrilateral curved posterior border, infralabials fused to form a large anterior infralabial, postgenials two rows of, head shape compressed, elevated, rostral plate large, compressed, forming an arched crest, frontal shields 2 pairs, eye shield minute, temples with two small shields, upper labial shields 3-3, hinder shield larger, square, lower lip covered with a single large shield, nostrils large, lateral, body and chest covered with rings of similar oblong square shields, preanal pores 2-2, separated by a central shield, tail cylindrical, rather conical at the tip, skin loose and inclined to form a fin-like fold, color pink generally, the head being lighter than the body"
amphisbaena bedai,"tail slightly clavate, nasals meeting on the midline, parietals large, body annuli 272-284, tail annuli 22-23, segments to a midbody annulus 18-20, head triangular, lateral sulcus evident from the 25th-30th body annulus, tail slightly clavate, rostral well visible from above, nasals meeting on the midline"
bronia bedai,"tail slightly clavate, nasals meeting on the midline, parietals large, preanal pores four, body annuli 272-284, tail annuli 22-23, segments to a midbody annulus 18-20, head triangular, lateral sulcus evident from the 25th-30th body annulus, rostral well visible from above, nasals suture shortest on top of the head, prefrontals large, frontals forming together a rough diamond, tail slightly clavate, nasals meeting on the midline, parietals large, body annuli 272-284, tail annuli 22-23, segments to a midbody annulus 18-20, dorsal color brown, ventral color yellowish, tail color white, autotomy level sixth annulus, point of tail laterally compressed, intersegmental sutures lighter, dorsum color brown to the level of the lateral sulcus, ventral parts yellowish"
amphisbaena brasiliana,"head shape ovate, rather convex, rostral shield very large, hemispherical, nasal shield small, inserted in notches, crown shape convex, rounded, labial shield 3-3 2-23, gular shield single, square, body shape cylindrical, lateral line well marked, dorsal shields elongate, narrow, ventral shields rather broader, smooth, preanal pores four, preanal shields six or eight, central pair of preanal shields largest, lateral ones of preanal shields very small, tail shape blunt"
amphisbaena kraoh,"dorsum color dark straw colored, ventral color lighter, tail length 304 + 18 mm"
amphisbaena bahiana,"head shields paired, prefrontals large, frontals broad, supralabials 4, body annuli 204-223, caudal annuli 14-16, autotomy constriction at the fifth or sixth postcloacal annulus, dorsal segments 12-16, ventral segments 14-16, precloacal pores 4, dorsal color brown, ventral color lighter, posterior prolongation of frontals enlargement of the postoculars"
amphisbaena roberti,"head shields paired, prefrontals large, frontals short, parierals enlarged, nuchal region constricted, rostral tip projects strongly, body annuli 240-265, caudal annuli 17-20, autotomy constriction at the seventh or eighth caudal annulus, dorsal segments 13-16, ventral segments 12-16, precloacal pores 2, dorsal color brown, ventral color lighter"
amphisbaena borelli,"head shields paired, naserostral suture lost in adults, prefrontals enlarged, frontals posterior prolongation, postoculars enlarged, nuchal constriction present, rostral tip projects strongly, lower jaw overhangs, body annuli 239-245, caudal annuli 17-19, autotomy constriction present, dorsal segments 14-16, ventral segments 16-20, precloacal pores interrupted series"
chirindia ewerbecki,"postfrontal shield single, parietal shield one, sublabial viereckiges, dorsal segments 12, ventral segments 12, rumpfringel approximately 290, totallänge 150 + ? mm"
rostral,"nasal fused with first and second labials, preocular present, ocular present, postfrontal 1, temporal 2, parietal 1, occipital 1-2 pairs, mental elongate, subtriangular, lower labials 3, postmental small, chin shields 2 + 3, 3 + 3, 2 + 4, annuli on body 264-280, annuli on tail 25-28"
chirindia,"snout shape rounded and strongly projecting, rostral shape moderate, triangular, postfrontal shape subtriangular, parietal shape polygonal, occipital shape broader than long, temporal shape obliquely elongate, upper labial shape elongate boomerang-shaped, lower labial shape large and just meeting postfrontal at a point, postmental shape small, triangular, chin-shield shape small, sublabial, dorsal segments 12, ventral segments 12, rumpfringel approximately 290, total length 150 + ? mm, snout shape rounded and strongly projecting, rostral moderate, triangular, nasal fused with first and second labials, preocular fused with first and second labials, postfrontals 2, parietals 2, occipitals 2, temporals 4, postmental small, triangular, lower labials 3, chin-shields 2 rows of 4 scales each, anal segments 6, preanal pores 4 in males, body annuli 286-290, tail annuli 30-32"
chirindia langi,"snout shape rounded and strongly projecting, rostral shape moderate, triangular, shields large, formed by the fusing together of the nasal, first upper labial, preocular, and prefrontal, postfrontals subtriangular, forming a long median suture, parietals polygonal, smaller than the frontals, occipitals paired, broader than long, meet at a point mesially, temporals four, upper anterior largest, mental elongate, subtriangular, sharply pointed behind, lower labials three, first very large, second and third very small, postmental small, triangular, with its apex directed anteriorly, chin-shields two rows of four scales each, body segments 286-290"
chirindia mpwapwaensis,"ocular scale separates the frontal from the first labial, frontal smallest, first labial fused with prefrontals, nostril, and former first labial, second labial largest, ocular scale separates the frontal from the first labial"
chirindia rondoensis,"rostral moderately triangular, nasal fused with first and second labials, preocular ocular, ocular prefrontal, parietals moderately enlarged, occipitals small trapezoidal, temporals large polygonal, postfrontals small trapezoidal, mental elongate, subtriangular, lower labials 1st very large, lower labials 2nd and 3rd very small, postmental small, tail shape obtusely rounded, body annuli 246, tail annuli 24, dorsal segments 12, ventral segments 12, postmental small, chin-shields small, sublabials 2"
cynisca bifrontalis,"preocular supralabials fused, nasal fused, prefrontal fused, blind suture present, rectangular ocular present, parietal larger, temporal large, occipital small, body annuli 240, caudal annuli 11, autotomy site at the 11th caudal annulus, dorsal segments 8, ventral segments 8, precloacal pores 10 (poorly expressed)"
cynisca degrysi,"rostral moderate, triangular, nasal fused with first and second labials, preocular fused, prefrontal fused, postfrontals elongate, ocular hidden, 1st upper labial present, temporals large, mental elongate, lower labials present, preocular supralabials fused, nasal fused, prefrontal fused, ocular fused, frontal fused, parietal fused, occipital fused, precloacal pores 6, caudal annuli 20-25, midbody segments 12-14 dorsal, 7-9 ventral, autotomy site 6th and 8th caudal annulus"
cynisca gansi,"head shields major fusions, supralabials fusion of the 1st and 2nd, nasal part of the fusion, prefrontal part of the fusion, frontal part of the fusion, preocular part of the fusion, ocular part of the fusion, parietals large, interparietals regular shape and size, mental fused to the postmental, postmental part of the fusion, postgenials in two rows, enlarged malar shields symmetrical, dorsal color brown, ventral color lighter, pigment density increases posteriorly, anterior head shields major fusions, small rostral triangle, paired shields cover the bulbously swollen snout, preocular supralabials included in the shields, nasal included in the shields, preocular included in the shields, prefrontal included in the shields, second supralabial extends posteriorly dorsal to the second postsupralabial, postlabial edge higher than it is long, parietals broadly contact the large first postsupralabial, body annuli 228-235, caudal annuli 21-22, midbody segments 12 dorsal, 10 ventral, median ventral segments enlarged, paired, precloacal pores 10 or 0, autotomy site at the 7th to 8th caudal annulus, dorsal color uniform brown, ventral color slightly lighter, pigment density increases posteriorly, chin pale, anterior head shields major fusions, small rostral visible as a triangle, large second supralabial extends dorsally, parietals broadly contact the large first postsupralabial, occipitals small"
cynisca haugi,"preocular supralabials fused, nasal fused, prefrontal fused, preocular fused, ocular fused, blind suture entering fused shield from above the level of the eye, occipital tiny, first postocular supralabial broadly contacts frontals, second body annulus forms complete ring of as many segments as third, preocular supralabials fused, nasal fused, prefrontal fused, parietal squarish, temporal squarish, postsupralabial squarish, body annuli 251, caudal annuli 27, midbody segments 8 dorsal, 8 ventral, median ventral segments enlarged, paired, autotomy site at the 7th caudal annulus, anterior head shields major fusions, rohral small, but visible, paired shields cover the bulbously swollen snout, blind suture extends anteriorly, parietal squarish, temporal squarish, postsupralabial squarish, dorsal half-annulus includes the widened and tiny occipitals, snout prognathous, lower jaw inserted into the bulbous snout, mental narrower than the enormous infralabials, infralabials very large, postmental row two wide segments, anterior head shields paired, rohral small, occipitals smaller than the flanking segments, enlarged cephalic shields only include the dorsal segments of the first (and part of the second) body annulus, snout prognathous, rostral far more obvious in ventral than in dorsal view, lower jaw inserted into the bulbous snout, mental narrower than the enormous infralabials, infralabials greater and the anterior edges between them are obscured, suture defining the posterior edges of the very large mental and the flanking first infralabials, enlarged malars correspond to two rows of postgenials, second infralabials small and their anterior suture passes anteriorly from the junction with the malars to the lip, wide segments flanked by a narrower one on each side, narrow segments lie posterior to the first infralabials, second postgenial row contains five segments"
cynisca kigomensis,"head shields major fusion of, supralabials 1st and 2nd, nasal fusion with, prefrontal fusion with, frontal fusion with, preocular fusion with, ocular shields pair of separate, postfrontals pair of, parietals pair of large, interparietals small pair of irregular shape and unequal size, mental fusion with, postmental fusion with, postgenials two rows, an anterior and a posterior, head shields major fusion of, nasal, prefrontal, frontal, and preocular fused, ocular shields pair of separate, parietals large, interparietals irregular shape and unequal size, postgenials in two rows, precloacal pores 8-0, precloacal segments 6-8, postcloacal segments 8, segments in a midbody annulus 26-28, dorsal segments 13-14, head shape prognathous, snout width twice as wide as high, lower jaw insertion not deeply inserted, infralabial width greater, mental width narrower, anterior suture angled, postmalar size slightly enlarged, gular region slightly reduced, midventral segments first indication of fusion, intercalated dorsal half-annulus near the ninth body annulus, body annuli 256-258, dorsal portions of the seventh to eighth discrete dorsal half-annuli narrowed and deeply folded"
cynisca kraussi,"nasal discrete, preocular discrete, prefrontal discrete, ocular pentagonal, diagonally placed, postocular supralabial, prefrontal suture long, frontal shields small, triangular, occipital large, parietals in variable contact, postsupralabial large, autotomy site at the 6th to 7th caudal annulus, body annuli 208-226, caudal annuli 16-19, dorsal color light brown, ventral color lighter"
amphisbaena,"dorsal color light brown, ventral color lighter, countershading proceeds just at the lateral sulci, pigmentation fades ventrally, darker specimens show an erratic, light checkerboard arrangement of pigmented segments on the ventral surface, intersegmental sutures faintly lightened, dorsal pigmentation may be mottled, caudal rosette very dark leaden gray, autotomy annulus darkened both dorsally and ventrally, anterior head shields no major fusions, postrostral small triangle, nasal large, preocular longer than wide, ocular large, prefrontal rectangular"
cynisca leonina,"preocular supralabials fused, nasal fused, prefrontal fused, blind suture entering fused shield from anterior corner of ocular, ocular discrete (quadratic, diagonally placed), median azygous shield present, frontal and parietal fused (relatively small), occipital distinct, first postocular supralabial contacts frontal-parietal, temporal lies dorsal to first and second postsupralabials, snout generally pointed, supralabials 2, infralabials 2"
cynisca leucura,"anterior trunk dorsoventrally compressed, head rounded or variably pointed, rostral small, visible only as a tiny triangle in dorsal view, anterior trunk dorsoventrally compressed, head rounded or variably pointed, rostral small and visible only as a tiny triangle in dorsal view"
cynisca liberiensis,"preocular supralabials fused, nasal and prefrontal fused, blind suture from anterior corner of ocular, ocular quadrate, diagonally placed, frontal and parietal fused, first postocular supralabial longest at the level of the eye, second supralabial squarish, first postsupralabial twice as high as long, second postsupralabial subequal, temporal covers the side of the head, body annuli 217-262"
cynisca muelleri,"first preocular supralabial fused, nasal fused, preocular fused, prefrontal fused, blind suture from the anterior corner of the second preocular supralabial, ocular diagonally placed, azygous shield quadrangular, frontal fused with frontal or with enormous temporal, parietal fused with frontal or with enormous temporal, occipitals two pairs of small distinct, first postocular supralabial large, postocular (-temporal) large"
cynisca nigeriensis,"head shields major fusions, supralabials fused, nasal fused, prefrontal fused, frontal fused, preocular fused, ocular fused, mental shorter than first infralabials, infralabials 2, malars enlarged, postgenial rows 2, precloacal pores 10 or 0, autotomy site 5th to 7th caudal annulus, body annuli 225-242, postgenial rows 2, body annuli 225-242, caudal annuli 20-22, midbody segments 8-10 dorsal, 7-9 ventral, precloacal pores 10 or 0, autotomy site 5th to 7th caudal annulus"
cynisca oligopholis,"preocular supralabials fused, nasal and prefrontal fused, blind suture anteriorly, ocular large and rectangular, diagonally placed, azygous median shield triangular, frontal-parietal-occipital shields narrow, second supralabial shorter ventrally than dorsally, temporal shield enormous, head shields large, body annuli 224-240, caudal annuli 23-25, midbody segments 10 dorsal, 8 ventral, precloacal pores 8-11, preocular supralabials fused, nasal and prefrontal fused, blind suture present, ocular large and rectangular, azygous median shield present, second supralabial shorter ventrally than dorsally, temporal shield enormous, frontal-parietal-occipital shield fused, posterior to the second supralabial lies the enormous temporal shield, dorsal color pale brown, ventral color lighter, countershading gradual, pigment density greatest on the neck and dorsal surface of the tail, pale ventral color extends from the chin across the anterior 15 percent of the trunk"
cynisca rouxae,"preocular supralabials 2, nasal 1, prefrontal 1, ocular 1, postocular 1, parietals 2, occipitals 2, first dorsal half-annulus 1, body annuli 197-207, caudal annuli 22, midbody segments 14-15 dorsal, 12-14 ventral, median ventral segments 1, precloacal pores 6 round, preocular supralabials 2, nasal 1, prefrontal 1, azygous shield 1, temporal 2, precloacal pores 6"
cynisca schaeferi,"preocular supralabials fused, nasal fused, prefrontal fused, ocular fused, head shape pointed, supralabials 2, infralabials 2, mental fused with first infralabials, postgenial flanked by one or two small segments, body annuli 241-252, caudal annuli 25-26, midbody segments 12 dorsal, 10 ventral, median ventral segments enlarged, paired, preocular supralabials fused, nasal fused, prefrontal fused, ocular fused, preocular fused, postocular supralabial large, frontal parallelsided, parietal parallelsided, temporal irregular, occipital slightly shorter laterally, mental narrower than the first infralabials, postgenial enlarged, infralabials first"
cynisca senegalensis,"preocular supralabials fused with nasals, paired ""prefrontals"" excluded from contact on the dorsal midline, mental wide and larger than flanking first infralabials, head bulbous, body annuli 278, caudal annuli 23, midbody segments 14 dorsal, 7-8 ventral, segments of median ventral row azygous and more than 4 times as wide as long, autotomy site at the 7th caudal annulus, dorsal color pale brown, ventral color lighter, posterior color darker, pigment density increases posteriorly, preocular supralabials fused with nasals, paired ""prefrontals"" excluded from contact on the dorsal midline, mental wide and larger than flanking first infralabials, malars and second infralabials very slightly enlarged, body annuli 278, caudal annuli 23, midbody segments 14 dorsal, 7 to 8 ventral, segments of median ventral row azygous and more than 4 times as wide as long, precloacal pores 9, autotomy site at the 7th caudal annulus, dorsal color pale brown, ventral color lighter"
cynisca williamsi,"rostral wide contact with the prefrontals, preocular supralabials nasal, preocular prefrontal, ocular discrete, median azygous shield, frontals parietals, prefrontal postfrontal, postmalar postgenial, infralabials enormous, mental postmental, postgenials rows of, body annuli 218, caudal annuli 14, head shape pointed, rostral wide contact, preocular supralabials 2, nasal discrete, prefrontal discrete, ocular discrete, median azygous shield large, frontals large, parietals large, occipitals large, postocular large, premental large, mental wide, infralabials 2, postmental small, postgenials 2 rows, body annuli 218, preocular supralabials 2, body annuli 218, caudal annuli 14, midbody segments 16 dorsal, 12-13 ventral"
dalophia angolensis,"body annuli 302-324, caudal annuli 20-27, dorsal segments 16-24, ventral segments 12-18, head shields broadly fused, nasals in narrow contact medially, oculars in contact dorsally and anteriorly, head shields broadly fused, lateral blind sutures present, nasals in narrow contact medially, oculars in contact dorsally and anteriorly, rectangular ocular present, crescent-shaped nostrils present, elongate nasals present, postmental present, first postgenials present, second postgenials present, third postgenials present, azygous head shield single, more or less pointed anteriorly, oval and relatively slender, oculars partially inserted into shallow notches along its sides, short, blind suture proceeds anteromedially for one-fifth of the shield width from each notch, preocular region slightly concave, however the dorsal surface of the head is faintly convex particularly along the medial line, head shield shows a high dome in transverse section, eye clearly visible beneath the medium-sized rectangular ocular, nasals elongate, crescent-shaped nostrils inserted into elongate nasals, mental broadly rectangular, postmental small first, second, and enormous third infralabials, and the squat, pentagonal postmental (genial), first postgenials rectangular lateral"
tail,"body annuli 302-324, dorsal half-annuli 5-8, ventral segments 12-18, midbody annulus 16-24, dorsal segments 18-24, ventral segments 12-18, tail shape compressed laterally and downward-curved, tail terminus projecting and unsegmented callous pad, autotomy constriction at the sixth or seventh caudal annulus, lateral sulci strongly marked"
dalophia ellenbergeri,"body annuli 312-344, caudal annuli 3-4, dorsal segments 14-21, ventral segments 11-14, first and second postgenials 2-5, azygous head shields broadly fused, lateral blind sutures retained throughout life, dorsal surface of the head convex in profile, eye clearly visible, range of snout-vent length 115-420 mm, large head shields fused, oval shape pointed anteriorly, lateral blind sutures retained throughout life, dorsal surface of the head convex in profile, eye clearly visible, parietal shields separate the azygous head shield, median pair of parietal shields widest, lateral pair of parietal shields may extend anteriorly, nasal scales elongate, nostrils crescent-shaped, lower jaw pentagonal mental, heart-shaped postmental longitudinally divided, snout-vent length 115-420 mm, large head shields fused into an oval shape, lateral blind sutures retained throughout life, dorsal surface of the head convex in profile, eye clearly visible, parietal shields separate the azygous head shield from the first body annulus, median pair of parietal shields widest, lateral pair of parietal shields may extend anteriorly, nasal scales elongate, oculars in contact with the nasal anteriorly and the parietals posteriorly, nostrils crescent-shaped, second supralabial the longest, lower jaw formed by a pentagonal mental, first, second, and third infralabials form the lower jaw, heart-shaped postmental divided in um 7913"
